interpolation_degree,value,absolute_error,relative_error,seconds,n_quadrature_points
2,12.566257758167202,0.00011285619197032304,8.98081040530239e-06,17.865457374999096,81536
4,12.566370512233135,1.0212603740455961e-07,8.12693183566173e-09,17.138297958001203,81536
6,12.566370614410555,5.1382897936491645e-11,4.088921098489497e-12,20.04712154200024,81536
